Results Table 1
;Width;Thickness
;(mm);(mm)
1;9,940;4,03

Raw Data
Time;Displacement;Force
(s);(mm);(kN)
2,3950;0,7923;0,7905
2,4000;0,7940;0,7920
2,4050;0,7956;0,7936
2,4100;0,7972;0,7951
2,4150;0,7989;0,7966
2,4200;0,8006;0,7981
2,4250;0,8023;0,7997
2,4300;0,8040;0,8012
2,4350;0,8056;0,8027
2,4400;0,8073;0,8043
2,4450;0,8090;0,8058
2,4500;0,8106;0,8074
2,4550;0,8123;0,8089
2,4600;0,8140;0,8105
2,4650;0,8157;0,8120
2,4700;0,8174;0,8136
2,4750;0,8190;0,8151
2,4800;0,8206;0,8166
2,4850;0,8223;0,8182
2,4900;0,8240;0,8197
2,4950;0,8257;0,8212
2,5000;0,8273;0,8227
2,5050;0,8290;0,8243
2,5100;0,8306;0,8258
2,5150;0,8323;0,8273
2,5200;0,8340;0,8288
2,5250;0,8357;0,8304
2,5300;0,8374;0,8319
2,5350;0,8391;0,8335
2,5400;0,8407;0,8350
2,5450;0,8424;0,8365
2,5500;0,8441;0,8380
2,5550;0,8458;0,8396
2,5600;0,8474;0,8412
2,5650;0,8491;0,8427
2,5700;0,8507;0,8443
2,5750;0,8524;0,8459
2,5800;0,8540;0,8474
2,5850;0,8556;0,8489
2,5900;0,8573;0,8504
2,5950;0,8590;0,8519
2,6000;0,8607;0,8534
2,6050;0,8623;0,8549
2,6100;0,8640;0,8565
2,6150;0,8657;0,8580
2,6200;0,8674;0,8595
2,6250;0,8690;0,8610
2,6300;0,8707;0,8626
2,6350;0,8724;0,8641
2,6400;0,8741;0,8656
2,6450;0,8757;0,8671
2,6500;0,8773;0,8685
2,6550;0,8790;0,8700
2,6600;0,8807;0,8716
2,6650;0,8824;0,8731
2,6700;0,8840;0,8746
2,6750;0,8857;0,8761
2,6800;0,8873;0,8776
2,6850;0,8890;0,8791
2,6900;0,8907;0,8806
2,6950;0,8924;0,8821
2,7000;0,8942;0,8837
2,7050;0,8958;0,8852
2,7100;0,8975;0,8867
2,7150;0,8991;0,8883
2,7200;0,9008;0,8898
2,7250;0,9025;0,8913
2,7300;0,9041;0,8928
2,7350;0,9058;0,8943
2,7400;0,9074;0,8959
2,7450;0,9091;0,8974
2,7500;0,9107;0,8989
2,7550;0,9123;0,9004
2,7600;0,9140;0,9019
2,7650;0,9157;0,9035
2,7700;0,9174;0,9050
2,7750;0,9191;0,9065
2,7800;0,9207;0,9080
2,7850;0,9224;0,9095
2,7900;0,9241;0,9110
2,7950;0,9258;0,9125
2,8000;0,9275;0,9140
2,8050;0,9292;0,9155
2,8100;0,9308;0,9171
2,8150;0,9324;0,9186
2,8200;0,9341;0,9201
2,8250;0,9357;0,9216
2,8300;0,9374;0,9231
2,8350;0,9391;0,9246
2,8400;0,9407;0,9261
2,8450;0,9424;0,9276
2,8500;0,9440;0,9291
2,8550;0,9457;0,9306
2,8600;0,9474;0,9320
2,8650;0,9491;0,9335
2,8700;0,9508;0,9350
2,8750;0,9525;0,9365
2,8800;0,9541;0,9380
2,8850;0,9558;0,9395
2,8900;0,9575;0,9410
2,8950;0,9591;0,9425
2,9000;0,9608;0,9440
2,9050;0,9624;0,9455
2,9100;0,9640;0,9470
2,9150;0,9657;0,9485
2,9200;0,9673;0,9500
2,9250;0,9690;0,9514
2,9300;0,9707;0,9529
2,9350;0,9724;0,9543
2,9400;0,9740;0,9558
2,9450;0,9757;0,9572
2,9500;0,9773;0,9587
2,9550;0,9790;0,9602
2,9600;0,9807;0,9617
2,9650;0,9824;0,9632
2,9700;0,9841;0,9647
2,9750;0,9858;0,9662
2,9800;0,9874;0,9678
2,9850;0,9890;0,9693
2,9900;0,9907;0,9708
2,9950;0,9924;0,9723
3,0000;0,9941;0,9738
3,0050;0,9957;0,9753
3,0100;0,9973;0,9767
3,0150;0,9990;0,9782
3,0200;1,0006;0,9797
3,0250;1,0023;0,9812
3,0300;1,0040;0,9826
3,0350;1,0057;0,9841
3,0400;1,0074;0,9856
3,0450;1,0091;0,9871
3,0500;1,0107;0,9886
3,0550;1,0124;0,9901
3,0600;1,0141;0,9915
3,0650;1,0157;0,9930
3,0700;1,0174;0,9945
3,0750;1,0190;0,9959
3,0800;1,0207;0,9974
3,0850;1,0223;0,9989
3,0900;1,0239;1,0003
3,0950;1,0256;1,0018
3,1000;1,0273;1,0032
3,1050;1,0290;1,0047
3,1100;1,0306;1,0061
3,1150;1,0323;1,0076
3,1200;1,0340;1,0091
3,1250;1,0356;1,0106
3,1300;1,0373;1,0121
3,1350;1,0390;1,0135
3,1400;1,0407;1,0150
3,1450;1,0423;1,0165
3,1500;1,0439;1,0180
3,1550;1,0456;1,0195
3,1600;1,0472;1,0209
3,1650;1,0489;1,0224
3,1700;1,0506;1,0239
3,1750;1,0522;1,0253
3,1800;1,0539;1,0268
3,1850;1,0555;1,0282
3,1900;1,0572;1,0297
3,1950;1,0589;1,0311
3,2000;1,0606;1,0325
3,2050;1,0623;1,0340
3,2100;1,0640;1,0355
3,2150;1,0656;1,0369
3,2200;1,0673;1,0384
3,2250;1,0689;1,0399
3,2300;1,0706;1,0413
3,2350;1,0723;1,0428
3,2400;1,0740;1,0443
3,2450;1,0756;1,0457
3,2500;1,0773;1,0472
3,2550;1,0789;1,0487
3,2600;1,0806;1,0501
3,2650;1,0823;1,0516
3,2700;1,0840;1,0530
3,2750;1,0857;1,0545
3,2800;1,0873;1,0560
3,2850;1,0890;1,0575
3,2900;1,0907;1,0590
3,2950;1,0924;1,0604
3,3000;1,0941;1,0619
3,3050;1,0958;1,0634
3,3100;1,0975;1,0649
3,3150;1,0991;1,0663
3,3200;1,1007;1,0678
3,3250;1,1023;1,0693
3,3300;1,1040;1,0707
3,3350;1,1057;1,0722
3,3400;1,1073;1,0736
3,3450;1,1090;1,0751
3,3500;1,1106;1,0765
3,3550;1,1123;1,0779
3,3600;1,1139;1,0794
3,3650;1,1156;1,0808
3,3700;1,1174;1,0822
3,3750;1,1191;1,0837
3,3800;1,1207;1,0852
3,3850;1,1224;1,0866
3,3900;1,1240;1,0881
3,3950;1,1257;1,0895
3,4000;1,1273;1,0910
3,4050;1,1290;1,0925
3,4100;1,1306;1,0939
3,4150;1,1323;1,0953
3,4200;1,1339;1,0968
3,4250;1,1355;1,0982
3,4300;1,1372;1,0996
3,4350;1,1389;1,1010
3,4400;1,1406;1,1024
3,4450;1,1423;1,1039
3,4500;1,1440;1,1053
3,4550;1,1456;1,1068
3,4600;1,1473;1,1082
3,4650;1,1490;1,1096
3,4700;1,1507;1,1111
3,4750;1,1524;1,1125
3,4800;1,1541;1,1140
3,4850;1,1557;1,1155
3,4900;1,1574;1,1169
3,4950;1,1590;1,1184
3,5000;1,1607;1,1198
3,5050;1,1624;1,1213
3,5100;1,1640;1,1227
3,5150;1,1657;1,1242
3,5200;1,1673;1,1256
3,5250;1,1689;1,1270
3,5300;1,1706;1,1284
3,5350;1,1723;1,1299
3,5400;1,1740;1,1313
3,5450;1,1757;1,1327
3,5500;1,1774;1,1341
3,5550;1,1791;1,1355
3,5600;1,1808;1,1369
3,5650;1,1824;1,1384
3,5700;1,1841;1,1398
3,5750;1,1858;1,1412
3,5800;1,1874;1,1427
3,5850;1,1890;1,1441
3,5900;1,1907;1,1456
3,5950;1,1923;1,1470
3,6000;1,1940;1,1484
3,6050;1,1957;1,1498
3,6100;1,1974;1,1513
3,6150;1,1990;1,1527
3,6200;1,2007;1,1541
3,6250;1,2024;1,1555
3,6300;1,2041;1,1569
3,6350;1,2058;1,1583
3,6400;1,2075;1,1597
3,6450;1,2091;1,1612
3,6500;1,2108;1,1626
3,6550;1,2124;1,1640
3,6600;1,2140;1,1654
3,6650;1,2157;1,1669
3,6700;1,2174;1,1683
3,6750;1,2190;1,1697
3,6800;1,2207;1,1711
3,6850;1,2224;1,1725
3,6900;1,2240;1,1740
3,6950;1,2256;1,1754
3,7000;1,2273;1,1768
3,7050;1,2290;1,1782
3,7100;1,2308;1,1797
3,7150;1,2325;1,1811
3,7200;1,2341;1,1825
3,7250;1,2357;1,1840
3,7300;1,2374;1,1854
3,7350;1,2391;1,1868
3,7400;1,2408;1,1882
3,7450;1,2425;1,1897
3,7500;1,2441;1,1911
3,7550;1,2458;1,1926
3,7600;1,2474;1,1940
3,7650;1,2490;1,1954
3,7700;1,2507;1,1968
3,7750;1,2524;1,1982
3,7800;1,2540;1,1995
3,7850;1,2557;1,2009
3,7900;1,2574;1,2022
3,7950;1,2591;1,2036
3,8000;1,2607;1,2050
3,8050;1,2624;1,2064
3,8100;1,2641;1,2079
3,8150;1,2658;1,2094
3,8200;1,2675;1,2108
3,8250;1,2691;1,2122
3,8300;1,2708;1,2136
3,8350;1,2724;1,2151
3,8400;1,2741;1,2165
3,8450;1,2758;1,2179
3,8500;1,2774;1,2193
3,8550;1,2790;1,2207
3,8600;1,2807;1,2221
3,8650;1,2823;1,2236
3,8700;1,2840;1,2250
3,8750;1,2857;1,2264
3,8800;1,2874;1,2278
3,8850;1,2891;1,2292
3,8900;1,2908;1,2306
3,8950;1,2924;1,2320
3,9000;1,2941;1,2333
3,9050;1,2958;1,2347
3,9100;1,2974;1,2361
3,9150;1,2991;1,2374
3,9200;1,3007;1,2389
3,9250;1,3023;1,2403
3,9300;1,3040;1,2417
3,9350;1,3056;1,2430
3,9400;1,3073;1,2444
3,9450;1,3090;1,2458
3,9500;1,3107;1,2472
3,9550;1,3123;1,2486
3,9600;1,3140;1,2500
3,9650;1,3157;1,2513
3,9700;1,3174;1,2527
3,9750;1,3190;1,2541
3,9800;1,3207;1,2555
3,9850;1,3224;1,2569
3,9900;1,3241;1,2583
3,9950;1,3257;1,2597
4,0000;1,3274;1,2611
4,0050;1,3290;1,2625
4,0100;1,3307;1,2638
4,0150;1,3324;1,2653
4,0200;1,3341;1,2667
4,0250;1,3357;1,2681
4,0300;1,3373;1,2695
4,0350;1,3390;1,2709
4,0400;1,3407;1,2723
4,0450;1,3424;1,2737
4,0500;1,3441;1,2750
4,0550;1,3458;1,2764
4,0600;1,3474;1,2778
4,0650;1,3491;1,2792
4,0700;1,3508;1,2805
4,0750;1,3524;1,2819
4,0800;1,3541;1,2833
4,0850;1,3558;1,2846
4,0900;1,3574;1,2860
4,0950;1,3590;1,2874
4,1000;1,3606;1,2888
4,1050;1,3623;1,2902
4,1100;1,3640;1,2915
4,1150;1,3657;1,2929
4,1200;1,3673;1,2942
4,1250;1,3690;1,2955
4,1300;1,3707;1,2969
4,1350;1,3723;1,2983
4,1400;1,3740;1,2996
4,1450;1,3757;1,3010
4,1500;1,3774;1,3024
4,1550;1,3791;1,3038
4,1600;1,3807;1,3053
4,1650;1,3823;1,3067
4,1700;1,3839;1,3081
4,1750;1,3856;1,3095
4,1800;1,3873;1,3108
4,1850;1,3890;1,3122
4,1900;1,3906;1,3135
4,1950;1,3923;1,3149
4,2000;1,3939;1,3162
4,2050;1,3956;1,3176
4,2100;1,3973;1,3189
4,2150;1,3990;1,3203
4,2200;1,4007;1,3217
4,2250;1,4024;1,3231
4,2300;1,4040;1,3245
4,2350;1,4057;1,3259
4,2400;1,4074;1,3273
4,2450;1,4091;1,3287
4,2500;1,4108;1,3300
4,2550;1,4124;1,3314
4,2600;1,4140;1,3328
4,2650;1,4157;1,3341
4,2700;1,4173;1,3355
4,2750;1,4190;1,3369
4,2800;1,4207;1,3382
4,2850;1,4223;1,3396
4,2900;1,4240;1,3409
4,2950;1,4256;1,3422
4,3000;1,4273;1,3435
4,3050;1,4290;1,3449
4,3100;1,4307;1,3463
4,3150;1,4324;1,3477
4,3200;1,4341;1,3491
4,3250;1,4358;1,3505
4,3300;1,4374;1,3518
4,3350;1,4390;1,3532
4,3400;1,4407;1,3545
4,3450;1,4423;1,3559
4,3500;1,4440;1,3572
4,3550;1,4456;1,3585
4,3600;1,4473;1,3599
4,3650;1,4489;1,3612
4,3700;1,4506;1,3625
4,3750;1,4523;1,3639
4,3800;1,4540;1,3652
4,3850;1,4557;1,3666
4,3900;1,4574;1,3679
4,3950;1,4590;1,3693
4,4000;1,4607;1,3706
4,4050;1,4624;1,3720
4,4100;1,4640;1,3734
4,4150;1,4657;1,3748
4,4200;1,4674;1,3761
4,4250;1,4690;1,3775
4,4300;1,4707;1,3788
4,4350;1,4723;1,3802
4,4400;1,4739;1,3815
4,4450;1,4756;1,3828
4,4500;1,4773;1,3841
